OlinkID,wmh_6_nobs,wmh_6_beta,wmh_6_se,wmh_6_pvalue,wmh_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20471,930,-0.011462946607506175,0.0303545185046093,0.7057895727761365,0.9919807034536966,32.05506790402733,Q14435,GALNT3,Inflammation,Unique Protein
OID20472,930,-0.010361353445322935,0.029691390336924788,0.7271940279497215,0.9920158219912458,227.40039641593364,P05113,IL5,Inflammation,Unique Protein
OID20474,930,0.01413835533331963,0.02940953993752849,0.6308167911803007,0.9800328918981532,93.5573090043232,Q92844,TANK,Inflammation,Unique Protein
OID20475,930,0.02747021316577574,0.03069217443482984,0.3710117906513549,0.9715972559934978,53.147909247082914,O43597,SPRY2,Inflammation,Unique Protein
OID20476,930,0.019566779810602224,0.028800326885156248,0.49706116760090546,0.9715972559934978,57.45545121182689,P13693,TPT1,Inflammation,Unique Protein
OID20477,930,-0.02862477067940628,0.030738868697400674,0.3519852550424354,0.9715972559934978,29.84380214223052,Q9P0M4,IL17C,Inflammation,Unique Protein
OID20478,930,0.029400380080158904,0.031064156288377172,0.3441756764743137,0.9715972559934978,62.73898880804235,Q7Z739,YTHDF3,Inflammation,Unique Protein
OID20479,930,0.021078697517226262,0.03112837414405268,0.4984808439052023,0.9715972559934978,87.44809687119948,P42768,WAS,Inflammation,Unique Protein
OID20480,930,0.015585111566545861,0.028837447313987862,0.5890213466356218,0.9715972559934978,28.158218528372636,Q96RJ3,TNFRSF13C,Inflammation,Unique Protein
OID20481,930,0.007233101941937345,0.03519628171837873,0.8372216561376945,0.9924559803865418,21.458639145475576,Q8TAD2,IL17D,Inflammation,Unique Protein
OID20482,930,0.015661974059932495,0.030365764873156766,0.6061354780166146,0.972945635498388,33.11668223854103,Q7Z6M3,MILR1,Inflammation,Unique Protein
OID20483,930,0.03528448729300197,0.030796446113298747,0.2522077473252892,0.9715972559934978,54.267786947268434,P30048,PRDX3,Inflammation,Unique Protein
OID20484,930,0.025871123506662694,0.031377830163748226,0.40987019301639604,0.9715972559934978,58.28255146295594,Q05084,ICA1,Inflammation,Unique Protein
OID20485,930,0.03396932552756409,0.031000613700202587,0.2734730510885359,0.9715972559934978,50.81218534346018,P51617,IRAK1,Inflammation,Unique Protein
OID20486,930,0.00897956811486902,0.030201608099689737,0.7662895629692776,0.9924559803865418,30.73961270092449,P42701,IL12RB1,Inflammation,Unique Protein
OID20487,930,-0.025755271233668664,0.031386692860499256,0.41210129715930766,0.9715972559934978,19.44692797833961,Q9HB29,IL1RL2,Inflammation,Unique Protein
OID20488,930,0.0399512054480977,0.028977530516836332,0.16832805682723315,0.9715972559934978,81.5285370697488,P01583,IL1A,Inflammation,Unique Protein
OID20489,930,0.053320949322289216,0.02955006158312568,0.0714955351849499,0.9715972559934978,145.4420077965507,P32456,GBP2,Inflammation,Unique Protein
OID20490,930,0.026317149847088668,0.03423390958000628,0.44224455296073806,0.9715972559934978,20.33940827167288,P12034,FGF5,Inflammation,Unique Protein
OID20491,930,-0.014145716737685806,0.03099185727212656,0.648187556058488,0.9800328918981532,23.803597387284064,P09919,CSF3,Inflammation,Unique Protein
OID20492,930,-0.0027633084190059835,0.03063819641034625,0.9281548381280212,0.9978816894349033,34.89963183705086,Q9BXJ7,AMN,Inflammation,Unique Protein
OID20493,930,0.0330489724725428,0.03163227649196044,0.29639975984844946,0.9715972559934978,20.54185331430291,P18564,ITGB6,Inflammation,Unique Protein
