OlinkID,epvs_thalamus_6_nobs,epvs_thalamus_6_beta,epvs_thalamus_6_se,epvs_thalamus_6_pvalue,epvs_thalamus_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20508,924,0.010049766699725682,0.03344078575181033,0.7638465615480442,0.999912880572633,46.51509694776605,Q06520,SULT2A1,Inflammation,Unique Protein
OID20509,924,-0.08053142778813738,0.03697083402018215,0.029646370837282596,0.999912880572633,37.36635761639649,O60575,SPINK4,Inflammation,Unique Protein
OID20510,924,0.009323665677864877,0.03298387640191031,0.7774920338222688,0.999912880572633,64.45880806202582,Q9Y5A7,NUB1,Inflammation,Unique Protein
OID20511,924,-0.014888560174205742,0.042345185469579334,0.7252205066139052,0.999912880572633,54.50712608163738,O60542,PSPN,Inflammation,Unique Protein
OID20512,924,-0.025591083607770432,0.03154889521039072,0.4174899264228267,0.999912880572633,34.70943459958243,P30838,ALDH3A1,Inflammation,Unique Protein
OID20513,661,-0.09553475578075224,0.038381283515542125,0.013060144830180812,0.999912880572633,15.682269173284974,O43521-2,BCL2L11,Inflammation,Unique Protein
OID20514,924,-0.018856476327081872,0.0318443921924515,0.5539023377931549,0.999912880572633,44.70559502976316,O60880,SH2D1A,Inflammation,Unique Protein
OID20515,924,0.004123904958932383,0.033234966102498154,0.9012769493235334,0.999912880572633,60.081422057647885,Q12778,FOXO1,Inflammation,Unique Protein
OID20516,924,8.723085319786218e-4,0.03292084387316161,0.9788666678303191,0.999912880572633,53.30873905513184,Q7L8A9,VASH1,Inflammation,Unique Protein
OID20517,661,0.07711708225210481,0.04023800020509623,0.05574422166417929,0.999912880572633,31.23319857161131,P55957,BID,Inflammation,Unique Protein
OID20519,924,-0.012800321395665601,0.033267468262833666,0.7004985827318944,0.999912880572633,75.02816785034094,Q6UB28,METAP1D,Inflammation,Unique Protein
OID20520,924,-0.03603084553529653,0.032621425777850994,0.26966445948892936,0.999912880572633,71.41855606479862,P01903,HLA-DRA,Inflammation,Unique Protein
OID20521,924,0.012034592946365266,0.03290611088816477,0.7146559139904838,0.999912880572633,110.97108267175035,Q92609,TBC1D5,Inflammation,Unique Protein
OID20522,924,-0.012927994249811666,0.0327236855394435,0.6928880653975782,0.999912880572633,48.722202726570735,P01588,EPO,Inflammation,Unique Protein
