OlinkID,epvs_basalganglia_6_nobs,epvs_basalganglia_6_beta,epvs_basalganglia_6_se,epvs_basalganglia_6_pvalue,epvs_basalganglia_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20243,926,-0.050665031229016576,0.030807779133859202,0.10040965530442357,0.3828462287273232,52.06089228866424,P33151,CDH5,Cardiometabolic,Unique Protein
OID20244,926,-0.012544338253805966,0.033108256696175724,0.7048596216110639,0.8865338528266521,60.80455777096107,P23141,CES1,Cardiometabolic,Unique Protein
OID20245,926,8.922561421994644e-4,0.04280725168363368,0.9833750373845038,0.9956374209473171,44.76614717411892,P15090,FABP4,Cardiometabolic,Unique Protein
OID20246,926,0.04387377379212516,0.03404490980166495,0.1978310922053521,0.5087294482756266,64.76816298498393,P08833,IGFBP1,Cardiometabolic,Unique Protein
OID20247,690,0.04134231739476505,0.035905827941534706,0.24997568406766374,0.5710092004594967,63.19472280875097,P00750,PLAT,Cardiometabolic,Unique Protein
OID20248,926,0.03756391141603093,0.03022718844584314,0.21429351915350664,0.5294843250090447,49.31949979438927,P13598,ICAM2,Cardiometabolic,Unique Protein
OID20249,926,-0.03285751337890648,0.031164362726579634,0.2920136980929444,0.6167312424318473,58.32689189092803,Q76LX8,ADAMTS13,Cardiometabolic,Unique Protein
OID20250,926,-0.014176002129525014,0.03141489052756756,0.6519168513861,0.862631487823255,58.84017009751589,Q01638,IL1RL1,Cardiometabolic,Unique Protein
OID20251,926,0.062120761932002486,0.038007649946663245,0.10251720062984593,0.3836847342394874,39.13705835358853,Q99988,GDF15,Cardiometabolic,Unique Protein
OID20252,926,-0.047699802062180593,0.03130232833117359,0.12789792334963984,0.42242444062259576,56.446669190947006,P04054,PLA2G1B,Cardiometabolic,Unique Protein
OID20253,926,-0.010668463870297152,0.034072806435316245,0.754270931564533,0.911958295587424,54.07092997982441,Q9UM47,NOTCH3,Cardiometabolic,Unique Protein
OID20254,926,0.035843948971076525,0.03566130106590347,0.31510719253000735,0.6362069731926273,55.11350716064815,Q14767,LTBP2,Cardiometabolic,Unique Protein
OID20255,926,0.03826941704111837,0.03100295319491925,0.21738221429891663,0.5330605808689037,59.29592661792535,Q03167,TGFBR3,Cardiometabolic,Unique Protein
OID20256,926,-0.01285276856202353,0.02998606604949284,0.6682984786421973,0.8701275960227808,107.37533623788369,P04275,VWF,Cardiometabolic,Unique Protein
OID20257,926,0.006181900117600219,0.03026973162475799,0.8382219867990097,0.9466855828544396,39.96050792408625,Q5VY43,PEAR1,Cardiometabolic,Unique Protein
OID20258,926,-0.03362429558645684,0.033176404365670674,0.3110924354467712,0.6314744366742445,61.11595778412402,Q06141,REG3A,Cardiometabolic,Unique Protein
OID20259,926,-0.03109769201277161,0.045105887769976157,0.49072489523988194,0.7736656069461919,60.410029729364055,P55808,XG,Cardiometabolic,Unique Protein
OID20260,926,0.020902545873222315,0.031098601994921735,0.5016677181960797,0.7795718980792881,61.8076988029898,P48960,ADGRE5,Cardiometabolic,Unique Protein
OID20261,926,-4.642725212291581e-4,0.031183374269058543,0.9881244490184875,0.9968463873043327,61.1795236448606,P04066,FUCA1,Cardiometabolic,Unique Protein
OID20262,926,-0.03135233375422684,0.029801153776445963,0.29305728086808075,0.6174900081654572,57.70058560244835,Q9NNX6,CD209,Cardiometabolic,Unique Protein
OID20263,926,-0.001348256205479001,0.036439518543281875,0.9704933052136558,0.9906079529604159,48.90160180012761,P02144,MB,Cardiometabolic,Unique Protein
OID20264,926,4.701214475867688e-4,0.03253104032634216,0.9884729828991774,0.9968463873043327,66.94939792978609,Q9UBP4,DKK3,Cardiometabolic,Unique Protein
OID20265,926,-0.050239676482191645,0.03079439290135039,0.10314256924964149,0.3850392463814841,49.47786070957056,O14798,TNFRSF10C,Cardiometabolic,Unique Protein
OID20266,926,0.008372873770779013,0.03180508146599939,0.7924133758885394,0.9322645504584378,52.79867342154505,P48304,REG1B,Cardiometabolic,Unique Protein
OID20267,926,0.04624413644101914,0.03284290111123575,0.15946285362046422,0.464150953409644,57.24841967595021,P01589,IL2RA,Cardiometabolic,Unique Protein
OID20268,926,-0.006344032156454022,0.02993670276368957,0.8322212257849516,0.9454266004544942,32.67531251149596,P09619,PDGFRB,Cardiometabolic,Unique Protein
OID20269,926,-0.00990158189178881,0.030118621796687152,0.7424186664446076,0.9053357371788019,42.3940514148372,P08581,MET,Cardiometabolic,Unique Protein
OID20270,926,0.047354847219884186,0.03355513184454851,0.15851350060480068,0.46379876102886125,41.37328095250382,Q96AP7,ESAM,Cardiometabolic,Unique Protein
OID20271,926,0.011001847462240713,0.03308642976391618,0.7395749203926132,0.9038484030691333,57.80394295489667,P07451,CA3,Cardiometabolic,Unique Protein
OID20272,926,0.06844120955192146,0.03256372641519145,0.03585030626832868,0.33031897563284185,55.67521084638539,Q9Y275,TNFSF13B,Cardiometabolic,Unique Protein
OID20273,926,0.02833189006481194,0.032918899576438426,0.38965503818135794,0.6956211362985104,62.52936892980734,Q13740,ALCAM,Cardiometabolic,Unique Protein
OID20274,926,0.049285160135116295,0.03280780492152057,0.13338464387568216,0.43033478371812245,43.92264317268689,P14555,PLA2G2A,Cardiometabolic,Unique Protein
OID20275,926,0.02087794661114579,0.033434138848343564,0.532489684773839,0.8039972990538999,49.214421338136205,P08118,MSMB,Cardiometabolic,Unique Protein
OID20276,926,0.02827011784107865,0.03427423268299981,0.4096906266243382,0.7139878136019285,46.86194530243617,P07858,CTSB,Cardiometabolic,Unique Protein
OID20277,926,0.002408702136478101,0.02960146859756228,0.9351648949283197,0.9811663733664503,53.49056024275692,P32942,ICAM3,Cardiometabolic,Unique Protein
OID20278,926,0.020325257583648296,0.03437898930695094,0.554526439217539,0.8145129556949078,63.29739378462129,Q07507,DPT,Cardiometabolic,Unique Protein
OID20279,926,-0.010099500025247081,0.03127003857228238,0.7467874281738771,0.9080115027255586,60.014867863013386,Q9NQ79,CRTAC1,Cardiometabolic,Unique Protein
OID20280,926,-0.02843183774811023,0.02961938823713989,0.3373590311816691,0.6569251817224026,57.38508731337746,P15085,CPA1,Cardiometabolic,Unique Protein
OID20281,926,0.04805856473323231,0.03162812057414863,0.1289892382657271,0.4239817541077619,66.45366322968857,Q86U17,SERPINA11,Cardiometabolic,Unique Protein
OID20282,926,0.028002405454134082,0.032889616583205834,0.39476952656358766,0.7005541642907368,67.53288082864628,Q9H2A7,CXCL16,Cardiometabolic,Unique Protein
OID20283,926,0.014689243293770582,0.029645629625525874,0.6203716018441265,0.8458290137212535,57.670116026926166,O75326,SEMA7A,Cardiometabolic,Unique Protein
OID20284,926,-0.03840458325219315,0.03363587871642564,0.2538501709083192,0.5738623739868653,43.769294645564536,P17931,LGALS3,Cardiometabolic,Unique Protein
OID20285,926,-0.03294746208845593,0.029523986710023122,0.26473763063661815,0.5835740090811179,59.97322330907519,Q9H1U4,MEGF9,Cardiometabolic,Unique Protein
OID20286,926,0.05086406351487371,0.031105060499205014,0.10234805011259136,0.3836847342394874,93.7782928984493,P31146,CORO1A,Cardiometabolic,Unique Protein
OID20287,926,-0.009065206511338401,0.02973718691985222,0.7605550463822832,0.9155716144157656,47.57050366529988,P17813,ENG,Cardiometabolic,Unique Protein
OID20288,926,-0.018703636609035523,0.03477232260361372,0.5907863380211524,0.8338331559806028,45.942593561848014,Q13822,ENPP2,Cardiometabolic,Unique Protein
OID20289,926,-0.03652134163560332,0.03003469063926942,0.22431302724788527,0.5391998179651057,43.63181389456767,P15086,CPB1,Cardiometabolic,Unique Protein
OID20290,926,0.03096506470044481,0.03180650964422548,0.330542989130615,0.6525388106990675,64.85885031297789,P16581,SELE,Cardiometabolic,Unique Protein
OID20291,926,0.015238576925058239,0.030979245870981637,0.6229120628996097,0.84616330402559,61.13933945036864,P19021,PAM,Cardiometabolic,Unique Protein
OID20292,926,0.036274817184574204,0.03970135065416039,0.36112218772733573,0.6755523873243724,66.02372887423743,P12111,COL6A3,Cardiometabolic,Unique Protein
OID20293,926,0.0012858462175319718,0.03440309399150609,0.9701935488825417,0.9906079529604159,59.67244657741059,Q15828,CST6,Cardiometabolic,Unique Protein
