OlinkID,epvs_insula_1_nobs,epvs_insula_1_beta,epvs_insula_1_se,epvs_insula_1_pvalue,epvs_insula_1_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20438,906,-0.06640690321909261,0.03422497397735081,0.05266026461844117,0.9953590097212025,19.364964768188074,Q6UXK5,LRRN1,Inflammation,Unique Protein
OID20439,906,0.0027499281884363126,0.03290622874613145,0.9334183354737158,0.9953590097212025,22.640700870887816,Q9HCU5,PREB,Inflammation,Unique Protein
OID20440,906,-0.031583566218814904,0.03250191224369132,0.3314433021943799,0.9953590097212025,75.51413479301999,Q13007,IL24,Inflammation,Unique Protein
OID20441,906,0.009291950912782655,0.03365126194285768,0.7825166852506571,0.9953590097212025,56.82637189594944,Q9UPV0,CEP164,Inflammation,Unique Protein
OID20442,906,0.02454658983312837,0.03348945486946712,0.46377424093711894,0.9953590097212025,44.44320334646435,O60934,NBN,Inflammation,Unique Protein
OID20443,906,0.04314889807335884,0.03335024057483605,0.19606874781471442,0.9953590097212025,44.00918429661865,Q96P31,FCRL3,Inflammation,Unique Protein
OID20444,906,-0.04794369327468595,0.03309365278680232,0.147768234798754,0.9953590097212025,46.23530058211611,Q9Y478,PRKAB1,Inflammation,Unique Protein
OID20445,906,0.06656843323892173,0.031458569366985795,0.034618136559694625,0.9953590097212025,49.70535334698695,Q8TCS8,PNPT1,Inflammation,Unique Protein
OID20446,906,-0.011439237821583377,0.03207826904132394,0.7214734094454491,0.9953590097212025,45.46664449338745,Q5T4W7,ARTN,Inflammation,Unique Protein
OID20447,906,0.025191077275539386,0.03354640172730765,0.45289323166060125,0.9953590097212025,38.675053486387775,Q5R372,RABGAP1L,Inflammation,Unique Protein
OID20448,906,-0.05070328633148725,0.03282182543307024,0.12275157853209487,0.9953590097212025,45.278415623434164,Q969V3,NCLN,Inflammation,Unique Protein
OID20449,906,-0.021868891822874707,0.03596547078428169,0.5433088852753389,0.9953590097212025,26.739425433157088,Q8N6P7,IL22RA1,Inflammation,Unique Protein
OID20450,906,-0.014183896909190741,0.032990008115159,0.6673402602421954,0.9953590097212025,80.80649988561991,P14784,IL2RB,Inflammation,Unique Protein
OID20451,906,0.0021758225200735537,0.03352912047947329,0.9482734547257847,0.9953590097212025,66.67122054021792,Q13459,MYO9B,Inflammation,Unique Protein
OID20452,906,0.04380297697997065,0.03281867415791315,0.18231927853184296,0.9953590097212025,43.18469629954743,P19801,AOC1,Inflammation,Unique Protein
OID20453,906,-0.005197125951404805,0.03455931265546327,0.8804969218960285,0.9953590097212025,40.919860523329646,Q9NYY1,IL20,Inflammation,Unique Protein
OID20454,906,0.05878504189770587,0.03330640720024644,0.07791288014834485,0.9953590097212025,51.46574703245831,P57771,RGS8,Inflammation,Unique Protein
OID20455,906,-0.017890037182716347,0.03326640594210758,0.5908636867644483,0.9953590097212025,55.82004800111024,P20809,IL11,Inflammation,Unique Protein
OID20456,906,-0.027170161463049628,0.03423518864027723,0.42762232532573863,0.9953590097212025,35.59066468465264,Q96PD4,IL17F,Inflammation,Unique Protein
OID20457,906,0.015297530503360737,0.03358792221746486,0.6488992737622816,0.9953590097212025,27.715294351221438,O76038,SCGN,Inflammation,Unique Protein
OID20458,906,-0.018095581344831788,0.03894689817780173,0.6423166657644778,0.9953590097212025,22.895760871873936,O95715,CXCL14,Inflammation,Unique Protein
OID20459,906,0.01107201620126573,0.036055663316309695,0.7588538929749635,0.9953590097212025,42.91391019809134,Q03426,MVK,Inflammation,Unique Protein
